state,county,population,white,all_workers,public_transit,bike,walked,all_female_marital,female_married,poverty_status_denominator,in_poverty,median_income,housing_units,housing_units_single_detached,housing_units_single_attached
53,041,75382,68858,28046,308,67,774,30933,17115,74259,12472,42917,34112,23152,353
53,043,10409,9827,4195,7,3,253,4237,2575,10291,1378,47161,5803,4553,11
53,045,60728,52057,21519,303,13,407,24693,13470,59097,10080,49538,32596,24321,353
53,047,41241,31041,15973,97,98,1003,16532,8822,40576,8802,39665,22338,15870,427
53,049,20665,18396,7267,43,31,234,8871,4842,20427,3487,39418,15662,10977,179
53,051,12965,11808,4005,3,5,118,5298,3071,12823,2811,40070,7989,5786,99
53,053,812689,610781,365830,12293,1389,9138,328936,168471,794608,99743,59711,328924,214612,13908
53,055,15847,14685,7393,137,102,620,7269,4031,15649,1783,54331,13555,11357,214
53,057,118364,102704,50058,538,348,1291,48560,26067,116682,17352,54917,51660,36805,1407
53,059,11194,10488,4522,5,39,93,4577,2529,11103,1514,50986,5637,4039,32
53,061,735351,583890,354718,19379,1100,6049,296274,159180,725195,74849,69443,291658,188940,12917
53,063,476950,425316,209165,5703,1323,6292,196964,97723,462156,72163,50432,204023,135675,6998
53,065,43541,39016,15652,156,37,491,17877,10585,43023,7563,42111,21133,15104,170
53,067,259330,214795,118691,2207,1432,2899,109401,57745,255767,30320,62286,110073,75303,4409
53,069,4016,3774,1259,53,0,52,1791,932,3901,853,44500,2083,1627,18
53,071,59476,51494,25567,227,561,1966,23818,11690,54296,9069,47854,23642,15779,523
53,073,204855,176607,95296,2666,1584,4585,86431,42253,199458,32401,53025,91447,58504,2101
53,075,46003,38701,20130,1147,318,3271,19669,7342,39557,12948,35578,19548,9566,598
53,077,246402,187855,97871,941,201,1701,92548,46846,242320,54474,43956,86006,58205,2196
54,001,16723,16206,6015,16,26,238,7202,3699,16229,3213,36351,7856,5695,73
54,003,107324,94247,47603,566,0,645,43546,23305,105740,15463,55100,45477,30826,4055
54,005,24257,23860,7771,0,0,189,10049,5685,24023,5077,42740,11070,6794,86
54,007,14492,14209,5067,4,0,130,6000,3156,13902,2960,31984,7402,5220,46
54,009,23787,23037,9903,64,2,452,10565,5231,22752,3096,44067,10927,8765,192
54,011,96826,88291,39337,367,112,1629,41886,18089,93004,20973,37716,46262,30149,817
54,013,7583,7406,2394,0,0,46,3152,1596,7468,1707,31017,3960,2787,25
54,015,9226,9141,2985,8,0,44,3741,2102,9104,2319,32933,4588,3175,15
54,017,8282,8047,2878,0,0,73,3209,1758,7719,1178,40329,3940,3036,10
54,019,45709,42723,15283,18,0,551,18996,9501,43707,9244,34914,21551,16627,150
54,021,8706,7100,2846,3,0,102,2974,1473,6577,1974,35625,3442,2420,4
54,023,11829,11552,4914,21,0,141,4906,2604,11678,2046,41600,6412,4856,35
54,025,35639,33651,14115,60,10,495,15329,8006,34853,6775,40256,19066,14045,248
54,027,23674,23032,8852,9,0,151,9619,4219,23082,4793,26828,13731,10239,57
54,029,30369,29078,12947,175,0,123,13277,7095,29900,4892,39342,14467,10839,303
54,031,13955,13160,6125,25,9,336,5824,2882,13854,2084,36465,8117,5886,78
